,STS,NLI,left,right,left_num,right_num,id,left_lower,right_lower,left_strip,right_strip,left_strip_tokenized,right_strip_tokenized,left_strip_tokenized_noPunct,right_strip_tokenized_noPunct,left_POS_tags,right_POS_tags,left_strip_tokenized_noPunct_lemmat,right_strip_tokenized_noPunct_lemmat,left_strip_tokenized_noPunct_lemmat_noStopWords,right_strip_tokenized_noPunct_lemmat_noStopWords,left_strip_tokenized_noPunct_StopWords,right_strip_tokenized_noPunct_StopWords,jaccard_strip_tokenized,jaccard_strip_tokenized_noPunct_lemmat_noStopWords,jacckard_strip_tokenized_noPunct_lemmat,left_strip_tokenized_len,right_strip_tokenized_len,left-right,right-left,path_similarity,lch_similarity_nouns,lch_similarity_verbs,jcn_similarity_brown_nouns,jcn_similarity_brown_verbs,jcn_similarity_genesis_nouns,jcn_similarity_genesis_verbs,wup_similarity,path_similarity_root,lch_similarity_nouns_root,lch_similarity_verbs_root,wup_similarity_root,chunk1_maximum,chunk2_maximum,chunk1>chunk2,chunk2>chunk1,|chunk1-chunk2|,minimum_difference,maximum_difference
19,3,SIMI,A smiling woman               ,Two women                     ,1 2 3,1 2,17,a smiling woman               ,two women                     ,a smiling woman,two women,"['a', 'smiling', 'woman']","['two', 'women']","['a', 'smiling', 'woman']","['two', 'women']","('DT', 'VBG', 'NN')","('CD', 'NNS')","['a', 'smile', 'woman']","['two', 'woman']","['smile', 'woman']","['two', 'woman']",['a'],[],0.0,0.3333333333333333,0.25,0.25,0.07142857142857142,0.7142857142857142,0.2857142857142857,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,12,12,0.0,0.0,0.0,0.0,0.7058823529411764
20,2,REL,with another smiling woman    ,laughing                      ,9 10 11 12,5,17,with another smiling woman    ,laughing                      ,with another smiling woman,laughing,"['with', 'another', 'smiling', 'woman']",['laughing'],"['with', 'another', 'smiling', 'woman']",['laughing'],"('IN', 'DT', 'VBG', 'NN')","('VBG',)","['with', 'another', 'smile', 'woman']",['laugh'],"['another', 'smile', 'woman']",['laugh'],['with'],[],0.0,0.0,0.0,0.375,0.0,0.8571428571428571,0.14285714285714282,0.3333333333333333,0.6979831568441129,0.0,2.2024367813302017e-301,5.414009662526702e-302,6.953039403137135e-302,0.0,0.8571428571428571,0.3333333333333333,0.6979831568441129,0.3617618393399106,0.8571428571428571,12,6,1.0,0.0,0.5,0.0,0.6470588235294118
21,4,BACK,a woman                       ,A young woman                 ,1 2,1 2 3,18,a woman                       ,a young woman                 ,a woman,a young woman,"['a', 'woman']","['a', 'young', 'woman']","['a', 'woman']","['a', 'young', 'woman']","('DT', 'NN')","('DT', 'JJ', 'NN')","['a', 'woman']","['a', 'young', 'woman']",['woman'],"['young', 'woman']",['a'],['a'],0.6666666666666666,0.5,0.6666666666666666,0.125,0.14285714285714285,0.5714285714285714,0.4285714285714285,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,12,12,0.0,0.0,0.0,0.0,0.7058823529411764
22,3,BACK,with a big necklace           ,with a black top and a necklace,3 4 5 6,4 5 6 7 8 9 10,18,with a big necklace           ,with a black top and a necklace,with a big necklace,with a black top and a necklace,"['with', 'a', 'big', 'necklace']","['with', 'a', 'black', 'top', 'and', 'a', 'necklace']","['with', 'a', 'big', 'necklace']","['with', 'a', 'black', 'top', 'and', 'a', 'necklace']","('IN', 'DT', 'JJ', 'NN')","('IN', 'DT', 'JJ', 'NN', 'CC', 'DT', 'NN')","['with', 'a', 'big', 'necklace']","['with', 'a', 'black', 'top', 'and', 'a', 'necklace']","['big', 'necklace']","['black', 'top', 'necklace']","['with', 'a']","['with', 'a', 'and', 'a']",0.42857142857142855,0.25,0.42857142857142855,0.375,0.4285714285714286,0.4285714285714285,0.5714285714285714,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,8,11,0.0,1.0,0.25,0.0,0.6470588235294118
23,5,EQUI,in grass                      ,in a grassy area              ,6 7,7 8 9 10,19,in grass                      ,in a grassy area              ,in grass,in a grassy area,"['in', 'grass']","['in', 'a', 'grassy', 'area']","['in', 'grass']","['in', 'a', 'grassy', 'area']","('IN', 'NN')","('IN', 'DT', 'JJ', 'NN')","['in', 'grass']","['in', 'a', 'grassy', 'area']",['grass'],"['grassy', 'area']",['in'],"['in', 'a']",0.2,0.0,0.2,0.125,0.21428571428571427,0.49999999999999994,0.49999999999999994,0.1,0.36700190953903267,0.0,9.290832299838936e-302,0.0,8.773868524053824e-302,0.0,0.47058823529411764,0.25,0.36700190953903267,0.0,0.47058823529411764,10,6,1.0,0.0,0.3333333333333333,0.0,0.5882352941176471
24,5,EQUI,Brown and white cow           ,A brown and white cow         ,1 2 3 4,1 2 3 4 5,19,brown and white cow           ,a brown and white cow         ,brown and white cow,a brown and white cow,"['brown', 'and', 'white', 'cow']","['a', 'brown', 'and', 'white', 'cow']","['brown', 'and', 'white', 'cow']","['a', 'brown', 'and', 'white', 'cow']","('NN', 'CC', 'JJ', 'NN')","('DT', 'NN', 'CC', 'JJ', 'NN')","['brown', 'and', 'white', 'cow']","['a', 'brown', 'and', 'white', 'cow']","['brown', 'white', 'cow']","['brown', 'white', 'cow']",['and'],"['a', 'and']",0.8,1.0,0.8,0.375,0.2857142857142857,0.5714285714285714,0.4285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,17,0.0,0.0,0.0,0.0,1.0
25,4,FORW,in grassy field               ,in a field                    ,5 6 7,6 7 8,22,in grassy field               ,in a field                    ,in grassy field,in a field,"['in', 'grassy', 'field']","['in', 'a', 'field']","['in', 'grassy', 'field']","['in', 'a', 'field']","('IN', 'JJ', 'NN')","('IN', 'DT', 'NN')","['in', 'grassy', 'field']","['in', 'a', 'field']","['grassy', 'field']",['field'],['in'],"['in', 'a']",0.5,0.5,0.5,0.25,0.14285714285714285,0.6428571428571428,0.3571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,0.0,0.0,0.0,0.0,0.5294117647058824
26,5,EQUI,Group                         ,A group                       ,1,1 2,22,group                         ,a group                       ,group,a group,['group'],"['a', 'group']",['group'],"['a', 'group']","('NN',)","('DT', 'NN')",['group'],"['a', 'group']",['group'],['group'],[],['a'],0.5,1.0,0.5,0.0,0.07142857142857142,0.5714285714285714,0.4285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,0.0,0.0,0.0,0.0,0.11764705882352941
27,4,FORW,with a red bicycle            ,with a bicycle                ,9 10 11 12,8 9 10,23,with a red bicycle            ,with a bicycle                ,with a red bicycle,with a bicycle,"['with', 'a', 'red', 'bicycle']","['with', 'a', 'bicycle']","['with', 'a', 'red', 'bicycle']","['with', 'a', 'bicycle']","('IN', 'DT', 'JJ', 'NN')","('IN', 'DT', 'NN')","['with', 'a', 'red', 'bicycle']","['with', 'a', 'bicycle']","['red', 'bicycle']",['bicycle'],"['with', 'a']","['with', 'a']",0.75,0.5,0.75,0.375,0.14285714285714285,0.7142857142857142,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,0.0,0.0,0.0,0.0,0.5294117647058824
28,4,BACK,a helmet                      ,a bike helmet                 ,6 7,5 6 7,23,a helmet                      ,a bike helmet                 ,a helmet,a bike helmet,"['a', 'helmet']","['a', 'bike', 'helmet']","['a', 'helmet']","['a', 'bike', 'helmet']","('DT', 'NN')","('DT', 'NN', 'NN')","['a', 'helmet']","['a', 'bike', 'helmet']",['helmet'],"['bike', 'helmet']",['a'],['a'],0.6666666666666666,0.5,0.6666666666666666,0.125,0.14285714285714285,0.5714285714285714,0.4285714285714285,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,10,11,0.0,1.0,0.08333333333333333,0.0,0.4117647058823529
29,2,REL,behind her                    ,in the background             ,13 14,11 12 13,23,behind her                    ,in the background             ,behind her,in the background,"['behind', 'her']","['in', 'the', 'background']","['behind', 'her']","['in', 'the', 'background']","('IN', 'PRP$')","('IN', 'DT', 'NN')","['behind', 'her']","['in', 'the', 'background']",['behind'],['background'],['her'],"['in', 'the']",0.0,0.0,0.0,0.125,0.14285714285714285,0.5714285714285714,0.4285714285714285,0.1,0.36700190953903267,0.0,6.509800569255549e-302,0.0,5.407132620126347e-302,0.0,0.25,0.14285714285714285,0.36700190953903267,0.0,0.25,5,10,0.0,1.0,0.41666666666666663,0.0,0.5882352941176471
30,4,FORW,A young blonde girl           ,A young girl                  ,1 2 3 4,1 2 3,23,a young blonde girl           ,a young girl                  ,a young blonde girl,a young girl,"['a', 'young', 'blonde', 'girl']","['a', 'young', 'girl']","['a', 'young', 'blonde', 'girl']","['a', 'young', 'girl']","('DT', 'JJ', 'NN', 'NN')","('DT', 'JJ', 'NN')","['a', 'young', 'blonde', 'girl']","['a', 'young', 'girl']","['young', 'blonde', 'girl']","['young', 'girl']",['a'],['a'],0.75,0.6666666666666666,0.75,0.375,0.14285714285714285,0.7142857142857142,0.2857142857142857,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,12,12,0.0,0.0,0.0,0.0,0.7058823529411764
31,5,EQUI,laying down                   ,laying                        ,4 5,3,24,laying down                   ,laying                        ,laying down,laying,"['laying', 'down']",['laying'],"['laying', 'down']",['laying'],"('VBG', 'RP')","('VBG',)","['lay', 'down']",['lay'],['lay'],['lay'],['down'],[],0.5,1.0,0.5,0.125,0.0,0.7142857142857142,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,7,0.0,0.0,0.0,0.0,0.4117647058823529
32,3,SIMI,A striped cat                 ,Domestic cat                  ,1 2 3,1 2,24,a striped cat                 ,domestic cat                  ,a striped cat,domestic cat,"['a', 'striped', 'cat']","['domestic', 'cat']","['a', 'striped', 'cat']","['domestic', 'cat']","('DT', 'JJ', 'NN')","('JJ', 'NN')","['a', 'striped', 'cat']","['domestic', 'cat']","['striped', 'cat']","['domestic', 'cat']",['a'],[],0.25,0.3333333333333333,0.25,0.25,0.07142857142857142,0.7142857142857142,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,13,0.0,0.0,0.0,0.0,0.7647058823529411
33,5,EQUI,on the snow                   ,in the snow                   ,4 5 6,4 5 6,25,on the snow                   ,in the snow                   ,on the snow,in the snow,"['on', 'the', 'snow']","['in', 'the', 'snow']","['on', 'the', 'snow']","['in', 'the', 'snow']","('IN', 'DT', 'NN')","('IN', 'DT', 'NN')","['on', 'the', 'snow']","['in', 'the', 'snow']",['snow'],['snow'],"['on', 'the']","['in', 'the']",0.5,1.0,0.5,0.25,0.14285714285714285,0.6428571428571428,0.3571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,0.0,0.0,0.0,0.0,0.47058823529411764
34,4,BACK,Five birds                    ,Several cardinals             ,1 2,1 2,25,five birds                    ,several cardinals             ,five birds,several cardinals,"['five', 'birds']","['several', 'cardinals']","['five', 'birds']","['several', 'cardinals']","('CD', 'NNS')","('JJ', 'NNS')","['five', 'bird']","['several', 'cardinal']","['five', 'bird']","['several', 'cardinal']",[],[],0.0,0.0,0.0,0.125,0.07142857142857142,0.6428571428571428,0.3571428571428571,0.2,0.5575533219658061,0.0,2.7702433683914917e-301,0.0,0.0,0.0,0.8333333333333334,0.3333333333333333,0.5575533219658061,0.0,0.8333333333333334,10,13,0.0,1.0,0.25,0.0,0.7647058823529411
35,4,SIMI,posing                        ,is standing                   ,3,3 4,26,posing                        ,is standing                   ,posing,is standing,['posing'],"['is', 'standing']",['posing'],"['is', 'standing']","('VBG',)","('VBZ', 'VBG')",['pose'],"['be', 'stand']",['pose'],['stand'],[],['is'],0.0,0.0,0.0,0.0,0.07142857142857142,0.5714285714285714,0.4285714285714285,0.5,0.36700190953903267,0.7872539464466368,7.18336409585718e-302,2.5315883965902726e-301,5.912482999858038e-302,2.5444079787250126e-301,0.8,0.5,0.36700190953903267,0.7872539464466368,0.8,10,11,0.0,1.0,0.08333333333333333,0.0,0.5882352941176471
36,5,EQUI,with a U2 sign                ,where `` u2 '' is written     ,7 8 9 10,8 9 10 11 12 13,26,with a u2 sign                ,where `` u2 '' is written     ,with a u2 sign,where `` u2 '' is written,"['with', 'a', 'u2', 'sign']","['where', '``', 'u2', '``', 'is', 'written']","['with', 'a', 'u2', 'sign']","['where', 'u2', 'is', 'written']","('IN', 'DT', 'JJ', 'NN')","('WRB', 'NN', 'VBZ', 'VBN')","['with', 'a', 'u2', 'sign']","['where', 'u2', 'be', 'write']","['u2', 'sign']","['u2', 'write']","['with', 'a']","['where', 'is']",0.125,0.3333333333333333,0.14285714285714285,0.375,0.3571428571428571,0.49999999999999994,0.49999999999999994,0.5,0.0,0.7872539464466368,0.0,4.0496160404792585e-301,0.0,4.726795313684148e-301,0.8888888888888888,0.5,0.0,0.7872539464466368,0.8888888888888888,7,5,1.0,0.0,0.16666666666666666,0.0,0.4117647058823529
