,STS,NLI,left,right,left_num,right_num,id,left_lower,right_lower,left_strip,right_strip,left_strip_tokenized,right_strip_tokenized,left_strip_tokenized_noPunct,right_strip_tokenized_noPunct,left_POS_tags,right_POS_tags,left_strip_tokenized_noPunct_lemmat,right_strip_tokenized_noPunct_lemmat,left_strip_tokenized_noPunct_lemmat_noStopWords,right_strip_tokenized_noPunct_lemmat_noStopWords,left_strip_tokenized_noPunct_StopWords,right_strip_tokenized_noPunct_StopWords,jaccard_strip_tokenized,jaccard_strip_tokenized_noPunct_lemmat_noStopWords,jaccard_strip_tokenized_noPunct_lemmat,left_strip_tokenized_len,right_strip_tokenized_len,left-right,right-left,path_similarity,lch_similarity_nouns,lch_similarity_verbs,jcn_similarity_brown_nouns,jcn_similarity_brown_verbs,jcn_similarity_genesis_nouns,jcn_similarity_genesis_verbs,wup_similarity,path_similarity_root,lch_similarity_nouns_root,lch_similarity_verbs_root,wup_similarity_root,chunk1_maximum,chunk2_maximum,chunk1>chunk2,chunk2>chunk1,|chunk1-chunk2|,minimum_difference,maximum_difference
10,4,SIMI,in Houla massacre             ,for Houla massacre            ,5 6 7,4 5 6,5,in houla massacre             ,for houla massacre            ,in houla massacre,for houla massacre,"['in', 'houla', 'massacre']","['for', 'houla', 'massacre']","['in', 'houla', 'massacre']","['for', 'houla', 'massacre']","('IN', 'NN', 'NN')","('IN', 'NN', 'NN')","['in', 'houla', 'massacre']","['for', 'houla', 'massacre']","['houla', 'massacre']","['houla', 'massacre']",['in'],['for'],0.5,1.0,0.5,0.2857142857142857,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,12,0.0,0.0,0.0,0.0,0.6470588235294118
11,5,EQUI,China stocks                  ,Chinese stocks                ,1 2,1 2,6,china stocks                  ,chinese stocks                ,china stocks,chinese stocks,"['china', 'stocks']","['chinese', 'stocks']","['china', 'stocks']","['chinese', 'stocks']","('NN', 'NNS')","('JJ', 'NNS')","['china', 'stock']","['chinese', 'stock']","['china', 'stock']","['chinese', 'stock']",[],[],0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,11,0.0,0.0,0.0,0.0,0.6470588235294118
12,4,BACK,Friday                        ,midday Friday                 ,5,5 6,6,friday                        ,midday friday                 ,friday,midday friday,['friday'],"['midday', 'friday']",['friday'],"['midday', 'friday']","('NN',)","('NN', 'NN')",['friday'],"['midday', 'friday']",['friday'],"['midday', 'friday']",[],[],0.5,0.5,0.5,0.0,0.14285714285714285,0.4,0.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,8,9,0.0,1.0,0.058823529411764705,0.0,0.058823529411764705
13,4,FORW,Mall attackers                ,attackers                     ,1 2,4,7,mall attackers                ,attackers                     ,mall attackers,attackers,"['mall', 'attackers']",['attackers'],"['mall', 'attackers']",['attackers'],"('NN', 'NNS')","('NNS',)","['mall', 'attacker']",['attacker'],"['mall', 'attacker']",['attacker'],[],[],0.5,0.5,0.5,0.14285714285714285,0.0,0.6,0.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9,9,0.0,0.0,0.0,0.0,0.058823529411764705
14,4,SIMI,6.8 quake                     ,Magnitude 6.3 quake           ,1 2,1 2 3,8,6 8 quake                     ,magnitude 6 3 quake           ,6 8 quake,magnitude 6 3 quake,"['6', '8', 'quake']","['magnitude', '6', '3', 'quake']","['6', '8', 'quake']","['magnitude', '6', '3', 'quake']","('CD', 'CD', 'NN')","('NN', 'CD', 'CD', 'NN')","['6', '8', 'quake']","['magnitude', '6', '3', 'quake']","['6', '8', 'quake']","['magnitude', '6', '3', 'quake']",[],[],0.4,0.4,0.4,0.2857142857142857,0.42857142857142855,0.4,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,7,0.0,0.0,0.0,0.0,0.4117647058823529
15,4,SIMI,as legitimate representative  ,as sole representative        ,7 8 9,8 9 10,9,as legitimate representative  ,as sole representative        ,as legitimate representative,as sole representative,"['as', 'legitimate', 'representative']","['as', 'sole', 'representative']","['as', 'legitimate', 'representative']","['as', 'sole', 'representative']","('IN', 'JJ', 'NN')","('IN', 'JJ', 'NN')","['a', 'legitimate', 'representative']","['a', 'sole', 'representative']","['legitimate', 'representative']","['sole', 'representative']",['as'],['as'],0.5,0.3333333333333333,0.5,0.2857142857142857,0.2857142857142857,0.5,0.5,1.0,1.0,0.5060189611780347,1.0,5.673379233706679e-302,1.0,0.0,1.0,1.0,1.0,0.5060189611780347,1.0,10,15,0.0,1.0,0.29411764705882354,0.0,0.8823529411764706
16,4,SIMI,opposition coalition          ,opposition                    ,5 6,7,9,opposition coalition          ,opposition                    ,opposition coalition,opposition,"['opposition', 'coalition']",['opposition'],"['opposition', 'coalition']",['opposition'],"('NN', 'NN')","('NN',)","['opposition', 'coalition']",['opposition'],"['opposition', 'coalition']",['opposition'],[],[],0.5,0.5,0.5,0.14285714285714285,0.0,0.6,0.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,10,8,1.0,0.0,0.11764705882352941,0.0,0.4117647058823529
17,5,EQUI,for ` house sister ' scandal  ,for `` house sister '' scandal,3 4 5 6 7 8,4 5 6 7 8 9,10,for ` house sister ' scandal  ,for `` house sister '' scandal,for ` house sister ' scandal,for `` house sister '' scandal,"['for', '`', 'house', 'sister', ""'"", 'scandal']","['for', '``', 'house', 'sister', '``', 'scandal']","['for', 'house', 'sister', 'scandal']","['for', 'house', 'sister', 'scandal']","('IN', 'NN', 'NN', 'NN')","('IN', 'NN', 'NN', 'NN')","['for', 'house', 'sister', 'scandal']","['for', 'house', 'sister', 'scandal']","['house', 'sister', 'scandal']","['house', 'sister', 'scandal']",['for'],['for'],0.5714285714285714,1.0,1.0,0.7142857142857142,0.7142857142857142,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,0.0,0.0,0.0,0.0,0.5294117647058824
18,5,EQUI,takes a beating               ,tumbles                       ,8 9 10,3,11,takes a beating               ,tumbles                       ,takes a beating,tumbles,"['takes', 'a', 'beating']",['tumbles'],"['takes', 'a', 'beating']",['tumbles'],"('VBZ', 'DT', 'NN')","('NNS',)","['take', 'a', 'beating']",['tumble'],"['take', 'beating']",['tumble'],['a'],[],0.0,0.0,0.0,0.2857142857142857,0.0,0.7,0.3,0.3333333333333333,0.34080041887482415,0.6628054829415044,7.347847263189514e-302,2.965377429230661e-301,6.385658822544476e-302,1.0,0.6666666666666666,0.3333333333333333,0.34080041887482415,0.6628054829415044,0.6666666666666666,10,10,0.0,0.0,0.0,0.0,0.5882352941176471
19,4,BACK,Boeing 787 Dreamliner         ,on 787 Dreamliner             ,1 2 3,6 7 8,11,boeing 787 dreamliner         ,on 787 dreamliner             ,boeing 787 dreamliner,on 787 dreamliner,"['boeing', '787', 'dreamliner']","['on', '787', 'dreamliner']","['boeing', '787', 'dreamliner']","['on', '787', 'dreamliner']","('VBG', 'CD', 'NN')","('IN', 'CD', 'NN')","['boeing', '787', 'dreamliner']","['on', '787', 'dreamliner']","['boeing', '787', 'dreamliner']","['787', 'dreamliner']",[],['on'],0.5,0.6666666666666666,0.5,0.2857142857142857,0.2857142857142857,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
20,4,SIMI,catches fire                  ,after fire                    ,4 5,4 5,11,catches fire                  ,after fire                    ,catches fire,after fire,"['catches', 'fire']","['after', 'fire']","['catches', 'fire']","['after', 'fire']","('NNS', 'NN')","('IN', 'NN')","['catch', 'fire']","['after', 'fire']","['catch', 'fire']",['fire'],[],['after'],0.3333333333333333,0.5,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,0.0,0.0,0.0,0.0,0.5882352941176471
21,4,BACK,stock                         ,Boeing stock                  ,7,1 2,11,stock                         ,boeing stock                  ,stock,boeing stock,['stock'],"['boeing', 'stock']",['stock'],"['boeing', 'stock']","('NN',)","('VBG', 'NN')",['stock'],"['boeing', 'stock']",['stock'],"['boeing', 'stock']",[],[],0.5,0.5,0.5,0.0,0.14285714285714285,0.4,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,11,0.0,0.0,0.0,0.0,0.6470588235294118
22,3,SIMI,Israeli forces                ,security forces               ,4 5,4 5,13,israeli forces                ,security forces               ,israeli forces,security forces,"['israeli', 'forces']","['security', 'forces']","['israeli', 'forces']","['security', 'forces']","('JJ', 'NNS')","('NN', 'NNS')","['israeli', 'force']","['security', 'force']","['israeli', 'force']","['security', 'force']",[],[],0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,12,0.0,1.0,0.1764705882352941,0.0,0.7058823529411764
23,4,FORW,"in West Bank , Jerusalem      ",in W. Bank                    ,6 7 8 9 10,6 7 8,13,"in west bank , jerusalem      ",in w  bank                    ,"in west bank , jerusalem",in w  bank,"['in', 'west', 'bank', ',', 'jerusalem']","['in', 'w', 'bank']","['in', 'west', 'bank', 'jerusalem']","['in', 'w', 'bank']","('IN', 'JJS', 'NN', 'NN')","('IN', 'JJ', 'NN')","['in', 'west', 'bank', 'jerusalem']","['in', 'w', 'bank']","['west', 'bank', 'jerusalem']","['w', 'bank']",['in'],['in'],0.3333333333333333,0.25,0.4,0.5714285714285714,0.2857142857142857,0.7,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,12,0.0,0.0,0.0,0.0,0.7058823529411764
24,4,FORW,in bus accident               ,in road accident              ,3 4 5,3 4 5,14,in bus accident               ,in road accident              ,in bus accident,in road accident,"['in', 'bus', 'accident']","['in', 'road', 'accident']","['in', 'bus', 'accident']","['in', 'road', 'accident']","('IN', 'JJ', 'NN')","('IN', 'NN', 'NN')","['in', 'bus', 'accident']","['in', 'road', 'accident']","['bus', 'accident']","['road', 'accident']",['in'],['in'],0.5,0.3333333333333333,0.5,0.2857142857142857,0.2857142857142857,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,12,8,1.0,0.0,0.23529411764705882,0.0,0.4117647058823529
25,4,BACK,in Pakistan                   ,in NW Pakistan                ,6 7,6 7 8,14,in pakistan                   ,in nw pakistan                ,in pakistan,in nw pakistan,"['in', 'pakistan']","['in', 'nw', 'pakistan']","['in', 'pakistan']","['in', 'nw', 'pakistan']","('IN', 'NN')","('IN', 'JJ', 'NN')","['in', 'pakistan']","['in', 'nw', 'pakistan']",['pakistan'],"['nw', 'pakistan']",['in'],['in'],0.6666666666666666,0.5,0.6666666666666666,0.14285714285714285,0.2857142857142857,0.4,0.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9,9,0.0,0.0,0.0,0.0,0.1764705882352941
26,5,EQUI,Family Reunions               ,family unions                 ,4 5,6 7,15,family reunions               ,family unions                 ,family reunions,family unions,"['family', 'reunions']","['family', 'unions']","['family', 'reunions']","['family', 'unions']","('NN', 'NNS')","('NN', 'NNS')","['family', 'reunion']","['family', 'union']","['family', 'reunion']","['family', 'union']",[],[],0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,10,10,0.0,0.0,0.0,0.0,0.5882352941176471
27,4,BACK,with South                    ,with South Korea              ,6 7,8 9 10,15,with south                    ,with south korea              ,with south,with south korea,"['with', 'south']","['with', 'south', 'korea']","['with', 'south']","['with', 'south', 'korea']","('IN', 'JJ')","('IN', 'JJ', 'NNS')","['with', 'south']","['with', 'south', 'korea']",['south'],"['south', 'korea']",['with'],['with'],0.6666666666666666,0.5,0.6666666666666666,0.14285714285714285,0.2857142857142857,0.4,0.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7,7,0.0,0.0,0.0,0.0,0.4117647058823529
28,5,EQUI,From Soccer                   ,from football                 ,5 6,4 5,16,from soccer                   ,from football                 ,from soccer,from football,"['from', 'soccer']","['from', 'football']","['from', 'soccer']","['from', 'football']","('IN', 'NN')","('IN', 'NN')","['from', 'soccer']","['from', 'football']",['soccer'],['football'],['from'],['from'],0.3333333333333333,0.0,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.5,0.5,0.5,0.8094485875732267,0.0,4.342944819032523e-301,0.0,1.0,0.0,0.96,0.5,0.8094485875732267,0.0,0.96,12,11,1.0,0.0,0.058823529411764705,0.25,0.1764705882352941
29,5,EQUI,Announces Retirement          ,retires                       ,3 4,3,16,announces retirement          ,retires                       ,announces retirement,retires,"['announces', 'retirement']",['retires'],"['announces', 'retirement']",['retires'],"('NNS', 'NN')","('NNS',)","['announces', 'retirement']",['retires'],"['announces', 'retirement']",['retires'],[],[],0.0,0.0,0.0,0.14285714285714285,0.0,0.6,0.4,0.0,0.0,0.0,0.0,6.220173625709402e-302,0.0,5.354021199223695e-302,0.0,0.2,0.0,0.5060189611780347,0.3333333333333333,9,5,1.0,0.0,0.23529411764705882,0.0,0.5294117647058824
30,5,EQUI,Who Set Himself on Fire       ,who set himself ablaze        ,2 3 4 5 6,3 4 5 6,17,who set himself on fire       ,who set himself ablaze        ,who set himself on fire,who set himself ablaze,"['who', 'set', 'himself', 'on', 'fire']","['who', 'set', 'himself', 'ablaze']","['who', 'set', 'himself', 'on', 'fire']","['who', 'set', 'himself', 'ablaze']","('WP', 'VBD', 'PRP', 'IN', 'NN')","('WP', 'VBD', 'PRP', 'NN')","['who', 'set', 'himself', 'on', 'fire']","['who', 'set', 'himself', 'ablaze']","['set', 'fire']","['set', 'ablaze']","['who', 'himself', 'on']","['who', 'himself']",0.5,0.3333333333333333,0.5,0.5714285714285714,0.42857142857142855,0.6,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,0.0,0.0,0.0,0.0,0.5882352941176471
31,4,FORW,as Japan                      ,Japan                         ,4 5,4,18,as japan                      ,japan                         ,as japan,japan,"['as', 'japan']",['japan'],"['as', 'japan']",['japan'],"('IN', 'NN')","('NN',)","['a', 'japan']",['japan'],['japan'],['japan'],['as'],[],0.5,1.0,0.5,0.14285714285714285,0.0,0.6,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,0.0,0.0,0.0,0.0,0.3529411764705882
32,4,SIMI,after ski accident            ,following skiing accident     ,5 6 7,11 12 13,19,after ski accident            ,following skiing accident     ,after ski accident,following skiing accident,"['after', 'ski', 'accident']","['following', 'skiing', 'accident']","['after', 'ski', 'accident']","['following', 'skiing', 'accident']","('IN', 'JJ', 'NN')","('VBG', 'NN', 'NN')","['after', 'ski', 'accident']","['follow', 'skiing', 'accident']","['ski', 'accident']","['follow', 'skiing', 'accident']",['after'],[],0.2,0.25,0.2,0.2857142857142857,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,8,0.0,0.0,0.0,0.0,0.47058823529411764
33,5,EQUI,Schumacher                    ,Michael Schumacher            ,1,1 2,19,schumacher                    ,michael schumacher            ,schumacher,michael schumacher,['schumacher'],"['michael', 'schumacher']",['schumacher'],"['michael', 'schumacher']","('NN',)","('NN', 'NN')",['schumacher'],"['michael', 'schumacher']",['schumacher'],"['michael', 'schumacher']",[],[],0.5,0.5,0.5,0.0,0.14285714285714285,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0,1.0,0.5294117647058824,0.0,0.0
34,5,EQUI,a Lance Armstrong biopic      ,Lance Armstrong in biopic     ,10 11 12 13,7 8 9 10,20,a lance armstrong biopic      ,lance armstrong in biopic     ,a lance armstrong biopic,lance armstrong in biopic,"['a', 'lance', 'armstrong', 'biopic']","['lance', 'armstrong', 'in', 'biopic']","['a', 'lance', 'armstrong', 'biopic']","['lance', 'armstrong', 'in', 'biopic']","('DT', 'NN', 'NN', 'NN')","('NN', 'NN', 'IN', 'NN')","['a', 'lance', 'armstrong', 'biopic']","['lance', 'armstrong', 'in', 'biopic']","['lance', 'armstrong', 'biopic']","['lance', 'armstrong', 'biopic']",['a'],['in'],0.6,1.0,0.6,0.42857142857142855,0.42857142857142855,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,13,0.0,0.0,0.0,0.0,0.7058823529411764
35,3,FORW,Bradley Cooper and JJ Abrams  ,Bradley Cooper                ,1 2 3 4 5,1 2,20,bradley cooper and jj abrams  ,bradley cooper                ,bradley cooper and jj abrams,bradley cooper,"['bradley', 'cooper', 'and', 'jj', 'abrams']","['bradley', 'cooper']","['bradley', 'cooper', 'and', 'jj', 'abrams']","['bradley', 'cooper']","('NN', 'NN', 'CC', 'NN', 'NNS')","('NN', 'NN')","['bradley', 'cooper', 'and', 'jj', 'abrams']","['bradley', 'cooper']","['bradley', 'cooper', 'jj', 'abrams']","['bradley', 'cooper']",['and'],[],0.4,0.5,0.4,0.5714285714285714,0.14285714285714285,0.8,0.19999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,15,0.0,0.0,0.0,0.0,0.7058823529411764
36,2,REL,about filming                 ,to play                       ,8 9,5 6,20,about filming                 ,to play                       ,about filming,to play,"['about', 'filming']","['to', 'play']","['about', 'filming']","['to', 'play']","('IN', 'VBG')","('TO', 'VB')","['about', 'film']","['to', 'play']",['film'],['play'],['about'],['to'],0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.5,0.5,0.3333333333333333,0.6979831568441129,0.6628054829415044,2.3496574984654447e-301,9.550405372995924e-302,5.839669523406639e-302,7.659261314198888e-302,0.8571428571428571,0.3333333333333333,0.6979831568441129,0.6628054829415044,0.8571428571428571,9,9,0.0,0.0,0.0,0.0,0.5294117647058824
37,4,BACK,horsemeat scandal             ,over horse meat scandal       ,8 9,6 7 8 9,21,horsemeat scandal             ,over horse meat scandal       ,horsemeat scandal,over horse meat scandal,"['horsemeat', 'scandal']","['over', 'horse', 'meat', 'scandal']","['horsemeat', 'scandal']","['over', 'horse', 'meat', 'scandal']","('NN', 'NN')","('IN', 'NN', 'NN', 'NN')","['horsemeat', 'scandal']","['over', 'horse', 'meat', 'scandal']","['horsemeat', 'scandal']","['horse', 'meat', 'scandal']",[],['over'],0.2,0.25,0.2,0.14285714285714285,0.42857142857142855,0.3,0.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9,14,0.0,1.0,0.29411764705882354,0.0,0.47058823529411764
38,4,FORW,Thai opposition party         ,Thai opposition               ,1 2 3,1 2,22,thai opposition party         ,thai opposition               ,thai opposition party,thai opposition,"['thai', 'opposition', 'party']","['thai', 'opposition']","['thai', 'opposition', 'party']","['thai', 'opposition']","('JJ', 'NN', 'NN')","('NN', 'NN')","['thai', 'opposition', 'party']","['thai', 'opposition']","['thai', 'opposition', 'party']","['thai', 'opposition']",[],[],0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.14285714285714285,0.6,0.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9,9,0.0,0.0,0.0,0.0,0.5294117647058824
